"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.10.2019","1.350,57","1.345,35","1.352,24","1.345,35","","0,73%"
"25.10.2019","1.340,72","1.329,13","1.342,85","1.328,62","","0,56%"
"24.10.2019","1.333,22","1.336,06","1.336,88","1.329,15","","0,17%"
"23.10.2019","1.330,97","1.327,18","1.331,08","1.325,13","","0,25%"
"22.10.2019","1.327,59","1.333,79","1.336,60","1.327,11","","-0,30%"
"21.10.2019","1.331,59","1.325,73","1.331,85","1.325,73","","0,76%"
"18.10.2019","1.321,61","1.329,23","1.330,60","1.317,99","","-0,62%"
"17.10.2019","1.329,82","1.331,21","1.334,81","1.326,70","","0,23%"
"16.10.2019","1.326,73","1.325,87","1.329,97","1.324,66","","-0,13%"
"15.10.2019","1.328,43","1.317,73","1.332,29","1.317,73","","1,06%"
"14.10.2019","1.314,56","1.313,93","1.317,81","1.312,76","","-0,09%"
"11.10.2019","1.315,77","1.313,23","1.325,72","1.313,23","","1,03%"
"10.10.2019","1.302,41","1.293,74","1.307,55","1.293,22","","0,64%"
"09.10.2019","1.294,12","1.290,39","1.298,50","1.288,75","","0,88%"
"08.10.2019","1.282,82","1.294,27","1.297,54","1.282,59","","-1,47%"
"07.10.2019","1.301,93","1.303,61","1.311,37","1.300,23","","-0,39%"
"04.10.2019","1.306,99","1.291,51","1.307,82","1.291,50","","1,49%"
"03.10.2019","1.287,74","1.276,40","1.287,97","1.262,81","","0,85%"
"02.10.2019","1.276,91","1.294,47","1.294,47","1.271,71","","-1,83%"
"01.10.2019","1.300,68","1.318,40","1.323,57","1.300,15","","-1,11%"
"30.09.2019","1.315,25","1.311,05","1.318,51","1.311,05","","0,50%"
"27.09.2019","1.308,66","1.317,96","1.318,74","1.301,50","","-0,40%"
"26.09.2019","1.313,96","1.318,78","1.318,81","1.307,97","","-0,35%"
"25.09.2019","1.318,62","1.310,42","1.320,94","1.303,10","","0,75%"
"24.09.2019","1.308,76","1.326,10","1.328,72","1.305,19","","-0,94%"
"23.09.2019","1.321,21","1.318,30","1.324,57","1.317,33","","-0,04%"
"20.09.2019","1.321,70","1.329,34","1.333,13","1.318,48","","-0,52%"
"19.09.2019","1.328,66","1.329,96","1.335,55","1.326,84","","0,04%"
"18.09.2019","1.328,12","1.325,15","1.328,94","1.315,66","","0,08%"
"17.09.2019","1.327,12","1.323,37","1.327,39","1.322,15","","0,21%"
"16.09.2019","1.324,30","1.326,06","1.327,62","1.321,42","","-0,50%"
"13.09.2019","1.330,97","1.332,27","1.334,42","1.328,74","","-0,08%"
"12.09.2019","1.331,98","1.331,54","1.337,86","1.327,81","","0,31%"
"11.09.2019","1.327,87","1.318,47","1.327,87","1.316,56","","0,79%"
"10.09.2019","1.317,44","1.313,22","1.317,48","1.308,02","","0,05%"
"09.09.2019","1.316,78","1.320,10","1.320,71","1.312,55","","0,08%"
"06.09.2019","1.315,73","1.317,13","1.318,58","1.312,68","","0,02%"
"05.09.2019","1.315,51","1.307,96","1.319,82","1.307,96","","1,39%"
"04.09.2019","1.297,53","1.290,93","1.298,21","1.289,76","","1,14%"
"03.09.2019","1.282,96","1.284,69","1.286,95","1.276,67","","-0,73%"
"30.08.2019","1.292,38","1.297,21","1.299,03","1.286,04","","0,05%"
"29.08.2019","1.291,77","1.285,84","1.294,38","1.283,36","","1,22%"
"28.08.2019","1.276,24","1.264,72","1.277,21","1.260,60","","0,65%"
"27.08.2019","1.268,06","1.278,52","1.281,12","1.263,86","","-0,29%"
"26.08.2019","1.271,79","1.265,19","1.272,24","1.261,52","","1,18%"
"23.08.2019","1.256,91","1.285,06","1.292,65","1.251,33","","-2,66%"
"22.08.2019","1.291,31","1.294,62","1.298,92","1.283,09","","-0,06%"
"21.08.2019","1.292,09","1.291,01","1.294,49","1.289,35","","0,88%"
"20.08.2019","1.280,77","1.289,49","1.291,53","1.280,40","","-0,81%"
"19.08.2019","1.291,29","1.285,54","1.294,47","1.285,54","","1,26%"
"16.08.2019","1.275,19","1.265,13","1.277,27","1.265,13","","1,46%"
"15.08.2019","1.256,83","1.256,90","1.261,77","1.246,74","","0,14%"
"14.08.2019","1.255,10","1.278,14","1.278,14","1.254,59","","-2,90%"
"13.08.2019","1.292,61","1.271,82","1.300,04","1.270,39","","1,59%"
"12.08.2019","1.272,40","1.282,22","1.282,92","1.267,74","","-1,18%"
"09.08.2019","1.287,65","1.293,40","1.295,56","1.278,97","","-0,70%"
"08.08.2019","1.296,68","1.278,88","1.296,96","1.277,43","","1,86%"
"07.08.2019","1.273,00","1.262,41","1.276,51","1.247,05","","-0,03%"
"06.08.2019","1.273,35","1.265,06","1.274,87","1.258,43","","1,30%"
"05.08.2019","1.256,99","1.279,48","1.279,48","1.246,91","","-3,06%"
"02.08.2019","1.296,65","1.300,87","1.301,49","1.287,66","","-0,69%"
"01.08.2019","1.305,66","1.318,19","1.334,01","1.302,29","","-0,87%"
"31.07.2019","1.317,09","1.334,67","1.334,83","1.307,58","","-1,17%"
"30.07.2019","1.332,65","1.331,94","1.335,45","1.328,81","","-0,38%"
"29.07.2019","1.337,77","1.338,83","1.339,47","1.334,53","","-0,16%"
"26.07.2019","1.339,87","1.333,29","1.340,99","1.332,89","","0,89%"
"25.07.2019","1.328,03","1.333,87","1.334,17","1.325,04","","-0,48%"
"24.07.2019","1.334,49","1.324,54","1.334,52","1.324,14","","0,45%"
"23.07.2019","1.328,49","1.325,18","1.328,82","1.321,15","","0,63%"
"22.07.2019","1.320,12","1.317,67","1.322,03","1.314,95","","0,36%"
"19.07.2019","1.315,42","1.328,54","1.329,86","1.315,01","","-0,63%"
"18.07.2019","1.323,72","1.316,79","1.324,95","1.313,68","","0,29%"
"17.07.2019","1.319,85","1.329,02","1.329,77","1.319,76","","-0,63%"
"16.07.2019","1.328,17","1.332,02","1.333,73","1.326,41","","-0,38%"
"15.07.2019","1.333,24","1.334,53","1.334,53","1.330,29","","0,07%"
"12.07.2019","1.332,32","1.328,69","1.332,35","1.327,23","","0,42%"
"11.07.2019","1.326,71","1.327,39","1.329,31","1.322,58","","0,17%"
"10.07.2019","1.324,50","1.321,36","1.328,39","1.320,10","","0,59%"
"09.07.2019","1.316,79","1.309,75","1.317,96","1.308,75","","0,18%"
"08.07.2019","1.314,36","1.315,62","1.315,77","1.311,43","","-0,49%"
"05.07.2019","1.320,77","1.318,03","1.322,80","1.311,91","","-0,18%"
"03.07.2019","1.323,16","1.315,84","1.323,16","1.315,70","","0,73%"
"02.07.2019","1.313,63","1.308,35","1.313,72","1.305,09","","0,43%"
"01.07.2019","1.307,95","1.311,22","1.314,53","1.302,92","","0,81%"
"28.06.2019","1.297,46","1.296,18","1.298,42","1.291,94","","0,40%"
"27.06.2019","1.292,25","1.291,57","1.295,12","1.289,95","","0,27%"
"26.06.2019","1.288,83","1.292,88","1.296,70","1.288,11","","0,02%"
"25.06.2019","1.288,61","1.302,70","1.302,96","1.287,59","","-1,09%"
"24.06.2019","1.302,82","1.304,44","1.306,67","1.302,22","","-0,12%"
"21.06.2019","1.304,36","1.304,26","1.311,13","1.303,12","","-0,05%"
"20.06.2019","1.305,05","1.303,19","1.307,00","1.294,99","","0,99%"
"19.06.2019","1.292,32","1.291,19","1.294,85","1.285,83","","0,20%"
"18.06.2019","1.289,69","1.285,66","1.295,32","1.284,65","","0,97%"
"17.06.2019","1.277,35","1.275,79","1.280,22","1.274,45","","0,23%"
"14.06.2019","1.274,40","1.273,66","1.278,08","1.270,88","","-0,08%"
"13.06.2019","1.275,45","1.273,24","1.277,76","1.271,30","","0,40%"
"12.06.2019","1.270,39","1.271,88","1.274,46","1.268,31","","-0,25%"
"11.06.2019","1.273,58","1.280,12","1.284,00","1.270,80","","0,08%"
"10.06.2019","1.272,58","1.272,07","1.281,50","1.271,85","","0,55%"
"07.06.2019","1.265,65","1.254,28","1.270,79","1.254,28","","1,23%"
"06.06.2019","1.250,21","1.242,80","1.254,16","1.240,55","","0,70%"
"05.06.2019","1.241,46","1.239,56","1.242,00","1.231,62","","0,69%"
"04.06.2019","1.232,95","1.214,86","1.233,65","1.214,86","","2,16%"
"03.06.2019","1.206,83","1.213,54","1.216,71","1.199,74","","-0,67%"
"31.05.2019","1.215,02","1.223,46","1.223,48","1.214,35","","-1,51%"
"30.05.2019","1.233,67","1.233,86","1.237,29","1.228,16","","0,14%"
"29.05.2019","1.231,97","1.235,24","1.235,80","1.224,01","","-0,73%"
"28.05.2019","1.240,99","1.252,35","1.257,25","1.240,54","","-0,77%"
"24.05.2019","1.250,67","1.253,57","1.257,32","1.248,19","","0,11%"
"23.05.2019","1.249,31","1.255,57","1.255,57","1.241,48","","-1,17%"
"22.05.2019","1.264,15","1.263,83","1.268,58","1.262,07","","-0,28%"
"21.05.2019","1.267,75","1.264,91","1.269,87","1.263,62","","0,71%"
"20.05.2019","1.258,85","1.258,95","1.264,75","1.254,44","","-0,68%"
"17.05.2019","1.267,41","1.266,24","1.279,13","1.264,21","","-0,54%"
"16.05.2019","1.274,32","1.264,39","1.281,45","1.264,39","","0,95%"
"15.05.2019","1.262,30","1.246,22","1.265,56","1.244,56","","0,79%"
"14.05.2019","1.252,41","1.247,31","1.260,88","1.246,74","","0,72%"
"13.05.2019","1.243,47","1.254,83","1.254,94","1.239,79","","-2,48%"
"10.05.2019","1.275,10","1.267,91","1.280,04","1.250,62","","0,31%"
"09.05.2019","1.271,22","1.267,48","1.273,77","1.256,43","","-0,41%"
"08.05.2019","1.276,40","1.276,64","1.285,01","1.273,30","","-0,18%"
"07.05.2019","1.278,76","1.291,75","1.292,06","1.268,86","","-1,67%"
"06.05.2019","1.300,44","1.288,53","1.302,45","1.284,25","","-0,48%"
"03.05.2019","1.306,72","1.299,26","1.308,25","1.299,26","","1,07%"
"02.05.2019","1.292,88","1.297,07","1.300,36","1.285,90","","-0,37%"
"01.05.2019","1.297,69","1.309,35","1.311,46","1.297,41","","-0,58%"
"30.04.2019","1.305,20","1.302,46","1.306,35","1.296,48","","-0,14%"
"29.04.2019","1.307,07","1.304,67","1.309,64","1.304,23","","0,22%"
"26.04.2019","1.304,15","1.298,68","1.304,15","1.294,56","","0,43%"
"25.04.2019","1.298,54","1.300,13","1.302,39","1.293,50","","0,12%"
"24.04.2019","1.297,02","1.301,02","1.301,58","1.296,48","","-0,35%"
"23.04.2019","1.301,56","1.291,16","1.302,51","1.290,37","","0,84%"
"22.04.2019","1.290,69","1.284,19","1.291,24","1.283,23","","0,26%"
"18.04.2019","1.287,40","1.288,20","1.288,90","1.282,05","","0,10%"
"17.04.2019","1.286,13","1.289,25","1.290,33","1.283,62","","0,08%"
"16.04.2019","1.285,10","1.284,47","1.286,82","1.282,06","","0,27%"
"15.04.2019","1.281,62","1.281,50","1.282,10","1.276,22","","0,04%"
"12.04.2019","1.281,09","1.278,86","1.282,54","1.277,30","","0,62%"
"11.04.2019","1.273,18","1.275,41","1.275,72","1.270,50","","-0,05%"
"10.04.2019","1.273,79","1.271,94","1.274,41","1.270,63","","0,25%"
"09.04.2019","1.270,67","1.273,36","1.274,22","1.268,42","","-0,54%"
"08.04.2019","1.277,57","1.273,30","1.277,68","1.270,61","","0,16%"
"05.04.2019","1.275,54","1.273,55","1.276,09","1.272,42","","0,33%"
"04.04.2019","1.271,40","1.268,32","1.272,62","1.266,03","","0,26%"
"03.04.2019","1.268,05","1.269,51","1.273,73","1.264,14","","0,16%"
"02.04.2019","1.266,04","1.265,98","1.269,14","1.262,34","","0,01%"
"01.04.2019","1.265,92","1.258,39","1.266,87","1.258,39","","1,15%"
"29.03.2019","1.251,56","1.249,18","1.252,22","1.244,04","","0,65%"
"28.03.2019","1.243,51","1.241,76","1.245,67","1.236,84","","0,28%"
"27.03.2019","1.240,05","1.247,20","1.249,56","1.232,20","","-0,50%"
"26.03.2019","1.246,22","1.244,43","1.251,90","1.240,27","","0,73%"
"25.03.2019","1.237,23","1.236,24","1.242,28","1.230,83","","-0,15%"
"22.03.2019","1.239,09","1.258,15","1.260,12","1.239,04","","-1,89%"
"21.03.2019","1.262,92","1.248,98","1.265,13","1.247,64","","0,93%"
"20.03.2019","1.251,26","1.251,93","1.259,28","1.245,69","","-0,10%"
"19.03.2019","1.252,57","1.256,01","1.261,55","1.248,37","","0,04%"
"18.03.2019","1.252,08","1.246,76","1.253,26","1.246,76","","0,37%"
"15.03.2019","1.247,48","1.241,92","1.250,83","1.241,48","","0,54%"
"14.03.2019","1.240,77","1.241,73","1.244,67","1.239,37","","-0,10%"
"13.03.2019","1.241,98","1.236,66","1.246,45","1.236,66","","0,73%"
"12.03.2019","1.232,94","1.230,98","1.237,34","1.230,69","","0,27%"
"11.03.2019","1.229,57","1.212,89","1.230,26","1.212,89","","1,53%"
"08.03.2019","1.211,04","1.204,36","1.211,59","1.201,08","","-0,15%"
"07.03.2019","1.212,88","1.220,92","1.221,56","1.208,31","","-0,84%"
"06.03.2019","1.223,14","1.230,11","1.230,11","1.221,59","","-0,54%"
"05.03.2019","1.229,75","1.230,07","1.232,89","1.225,26","","0,03%"
"04.03.2019","1.229,43","1.237,42","1.239,31","1.218,51","","-0,24%"
"01.03.2019","1.232,43","1.229,33","1.233,93","1.225,43","","0,73%"
"28.02.2019","1.223,55","1.225,79","1.228,36","1.222,50","","-0,34%"
"27.02.2019","1.227,68","1.225,71","1.229,24","1.219,73","","-0,07%"
"26.02.2019","1.228,50","1.226,51","1.232,62","1.224,69","","0,01%"
"25.02.2019","1.228,38","1.230,49","1.235,60","1.227,81","","0,27%"
"22.02.2019","1.225,06","1.220,29","1.225,80","1.219,16","","0,63%"
"21.02.2019","1.217,44","1.219,48","1.220,58","1.212,86","","-0,35%"
"20.02.2019","1.221,74","1.219,30","1.223,93","1.216,51","","0,15%"
"19.02.2019","1.219,92","1.215,34","1.223,51","1.214,49","","0,16%"
"15.02.2019","1.217,96","1.211,16","1.217,97","1.211,16","","1,09%"
"14.02.2019","1.204,80","1.204,65","1.210,22","1.198,10","","-0,33%"
"13.02.2019","1.208,80","1.208,33","1.213,70","1.207,93","","0,25%"
"12.02.2019","1.205,74","1.195,16","1.207,01","1.195,16","","1,36%"
"11.02.2019","1.189,59","1.192,26","1.194,67","1.187,11","","-0,05%"
"08.02.2019","1.190,16","1.183,76","1.190,25","1.178,94","","-0,06%"
"07.02.2019","1.190,83","1.197,63","1.197,63","1.182,47","","-1,13%"
"06.02.2019","1.204,43","1.206,87","1.208,51","1.201,24","","-0,27%"
"05.02.2019","1.207,64","1.202,62","1.208,40","1.201,31","","0,57%"
"04.02.2019","1.200,75","1.191,71","1.200,84","1.189,43","","0,76%"
"01.02.2019","1.191,67","1.189,65","1.197,71","1.187,82","","0,00%"
"31.01.2019","1.191,68","1.184,08","1.194,54","1.180,53","","0,94%"
"30.01.2019","1.180,56","1.167,88","1.184,72","1.165,58","","1,72%"
"29.01.2019","1.160,65","1.164,06","1.167,22","1.157,52","","-0,33%"
"28.01.2019","1.164,44","1.167,22","1.167,22","1.155,43","","-0,99%"
"25.01.2019","1.176,11","1.173,97","1.179,86","1.173,19","","0,74%"
"24.01.2019","1.167,43","1.167,49","1.169,65","1.159,92","","-0,03%"
"23.01.2019","1.167,81","1.169,34","1.173,82","1.156,07","","0,34%"
"22.01.2019","1.163,81","1.175,35","1.175,35","1.156,47","","-1,50%"
"18.01.2019","1.181,55","1.175,40","1.184,45","1.172,34","","1,17%"
"17.01.2019","1.167,86","1.157,13","1.172,09","1.155,40","","0,68%"
"16.01.2019","1.159,94","1.160,04","1.165,12","1.159,40","","0,22%"
"15.01.2019","1.157,45","1.145,27","1.158,75","1.145,00","","1,18%"
"14.01.2019","1.143,95","1.142,23","1.146,61","1.137,86","","-0,47%"
"11.01.2019","1.149,35","1.146,21","1.149,35","1.141,03","","-0,01%"
"10.01.2019","1.149,47","1.141,63","1.150,34","1.135,15","","0,25%"
"09.01.2019","1.146,66","1.146,05","1.151,61","1.140,06","","0,24%"
"08.01.2019","1.143,87","1.142,21","1.147,56","1.132,79","","0,94%"
"07.01.2019","1.133,22","1.128,93","1.140,06","1.122,38","","0,58%"
"04.01.2019","1.126,64","1.100,77","1.129,00","1.100,77","","3,55%"
"03.01.2019","1.088,03","1.109,09","1.109,79","1.086,14","","-2,69%"
"02.01.2019","1.118,14","1.099,92","1.122,44","1.096,56","","0,38%"
"31.12.2018","1.113,87","1.110,98","1.115,98","1.103,84","","0,86%"
"28.12.2018","1.104,34","1.109,79","1.120,35","1.098,75","","-0,08%"
"27.12.2018","1.105,17","1.085,70","1.105,34","1.063,74","","0,75%"
"26.12.2018","1.096,95","1.048,70","1.097,05","1.041,66","","5,20%"
"24.12.2018","1.042,77","1.063,21","1.069,88","1.042,77","","-2,66%"
"21.12.2018","1.071,32","1.094,82","1.112,19","1.067,26","","-2,28%"
"20.12.2018","1.096,36","1.108,56","1.115,17","1.084,57","","-1,54%"
"19.12.2018","1.113,55","1.132,29","1.149,08","1.104,72","","-1,63%"
"18.12.2018","1.132,03","1.136,99","1.143,79","1.123,62","","0,12%"
"17.12.2018","1.130,63","1.149,37","1.154,79","1.123,31","","-1,99%"
"14.12.2018","1.153,59","1.168,14","1.169,67","1.150,98","","-2,09%"
"13.12.2018","1.178,25","1.180,00","1.186,31","1.171,61","","0,19%"
"12.12.2018","1.176,02","1.179,71","1.191,87","1.175,73","","0,51%"
"11.12.2018","1.170,08","1.183,40","1.186,76","1.162,30","","-0,03%"
"10.12.2018","1.170,41","1.166,57","1.174,82","1.145,26","","0,24%"
"07.12.2018","1.167,57","1.193,65","1.201,69","1.163,24","","-2,39%"
"06.12.2018","1.196,20","1.179,45","1.196,32","1.163,20","","-0,11%"
"04.12.2018","1.197,48","1.234,81","1.235,93","1.196,38","","-3,32%"
"03.12.2018","1.238,63","1.240,01","1.244,34","1.231,92","","1,10%"
"30.11.2018","1.225,19","1.214,29","1.225,19","1.211,70","","0,95%"
"29.11.2018","1.213,70","1.213,37","1.220,70","1.206,96","","-0,20%"
"28.11.2018","1.216,09","1.191,69","1.216,25","1.188,64","","2,49%"
"27.11.2018","1.186,55","1.176,13","1.186,73","1.171,99","","0,52%"
"26.11.2018","1.180,46","1.168,88","1.180,93","1.168,88","","1,64%"
"23.11.2018","1.161,40","1.163,75","1.168,35","1.161,12","","-0,84%"
"21.11.2018","1.171,29","1.177,84","1.181,10","1.171,24","","0,12%"
"20.11.2018","1.169,94","1.175,51","1.183,10","1.164,96","","-1,97%"
"19.11.2018","1.193,49","1.210,98","1.211,63","1.189,19","","-1,67%"
"16.11.2018","1.213,73","1.206,56","1.218,42","1.202,69","","0,09%"
"15.11.2018","1.212,59","1.197,40","1.214,78","1.185,63","","1,07%"
"14.11.2018","1.199,77","1.216,64","1.220,50","1.192,63","","-0,78%"
"13.11.2018","1.209,15","1.212,71","1.224,09","1.206,18","","-0,20%"
"12.11.2018","1.211,59","1.233,77","1.235,18","1.209,53","","-2,08%"
"09.11.2018","1.237,35","1.243,73","1.244,26","1.230,32","","-0,94%"
"08.11.2018","1.249,08","1.249,39","1.252,75","1.243,51","","-0,27%"
"07.11.2018","1.252,45","1.233,59","1.253,12","1.233,59","","2,27%"
"06.11.2018","1.224,67","1.217,63","1.225,37","1.216,52","","0,59%"
"05.11.2018","1.217,50","1.212,24","1.220,22","1.208,76","","0,56%"
"02.11.2018","1.210,74","1.220,29","1.226,05","1.200,56","","-0,74%"
"01.11.2018","1.219,80","1.211,33","1.220,25","1.206,30","","0,91%"
"31.10.2018","1.208,84","1.205,31","1.219,74","1.205,31","","1,27%"
"30.10.2018","1.193,70","1.176,15","1.195,11","1.173,05","","1,36%"
"29.10.2018","1.177,69","1.199,66","1.209,42","1.159,55","","-0,96%"
"26.10.2018","1.189,06","1.192,66","1.204,54","1.175,69","","-1,82%"
"25.10.2018","1.211,11","1.195,83","1.219,00","1.192,07","","2,14%"
"24.10.2018","1.185,78","1.223,76","1.225,48","1.183,62","","-3,27%"
"23.10.2018","1.225,82","1.214,53","1.231,53","1.203,39","","-0,42%"
"22.10.2018","1.231,02","1.238,83","1.241,23","1.228,02","","-0,41%"
"19.10.2018","1.236,09","1.236,52","1.248,24","1.232,11","","0,26%"
"18.10.2018","1.232,83","1.248,71","1.249,89","1.226,91","","-1,50%"
"17.10.2018","1.251,66","1.251,73","1.255,37","1.239,15","","0,10%"
"16.10.2018","1.250,46","1.231,89","1.252,17","1.231,89","","2,12%"
"15.10.2018","1.224,49","1.232,41","1.236,43","1.223,97","","-0,74%"
"12.10.2018","1.233,66","1.235,59","1.237,64","1.215,74","","1,60%"
"11.10.2018","1.214,29","1.234,23","1.243,98","1.204,95","","-2,06%"
"10.10.2018","1.239,83","1.280,60","1.280,82","1.239,60","","-3,41%"
"09.10.2018","1.283,60","1.283,27","1.289,87","1.279,21","","-0,02%"
"08.10.2018","1.283,87","1.279,24","1.286,33","1.272,60","","0,04%"
"05.10.2018","1.283,34","1.291,98","1.294,84","1.275,54","","-0,63%"
"04.10.2018","1.291,53","1.299,65","1.299,95","1.283,00","","-0,87%"
"03.10.2018","1.302,80","1.305,44","1.309,73","1.300,96","","0,10%"
"02.10.2018","1.301,56","1.300,26","1.305,42","1.299,04","","0,06%"
"01.10.2018","1.300,84","1.300,38","1.306,18","1.297,74","","0,51%"
"28.09.2018","1.294,27","1.293,49","1.298,05","1.291,61","","-0,08%"
"27.09.2018","1.295,32","1.293,68","1.301,51","1.292,44","","0,41%"
"26.09.2018","1.290,08","1.294,55","1.301,53","1.288,79","","-0,30%"
"25.09.2018","1.293,91","1.295,61","1.297,35","1.293,12","","-0,06%"
"24.09.2018","1.294,71","1.293,77","1.295,53","1.290,79","","-0,26%"
"21.09.2018","1.298,14","1.303,08","1.304,27","1.296,91","","-0,10%"
"20.09.2018","1.299,40","1.293,62","1.301,37","1.293,62","","0,87%"
"19.09.2018","1.288,15","1.285,93","1.289,31","1.284,13","","0,25%"
"18.09.2018","1.284,91","1.278,58","1.288,38","1.278,35","","0,57%"
"17.09.2018","1.277,57","1.284,62","1.284,81","1.276,33","","-0,62%"
"14.09.2018","1.285,60","1.287,55","1.288,10","1.281,25","","-0,07%"
"13.09.2018","1.286,56","1.283,19","1.288,14","1.283,09","","0,56%"
"12.09.2018","1.279,43","1.279,79","1.282,77","1.275,68","","0,03%"
"11.09.2018","1.279,07","1.270,31","1.280,91","1.267,72","","0,53%"
"10.09.2018","1.272,29","1.275,62","1.277,68","1.271,98","","0,08%"
"07.09.2018","1.271,27","1.268,97","1.276,71","1.267,62","","-0,21%"
"06.09.2018","1.273,98","1.279,46","1.280,50","1.268,20","","-0,43%"
"05.09.2018","1.279,43","1.281,56","1.283,16","1.275,24","","-0,36%"
"04.09.2018","1.284,03","1.284,52","1.285,63","1.278,74","","-0,22%"
"31.08.2018","1.286,90","1.286,58","1.289,94","1.282,28","","-0,04%"
"30.08.2018","1.287,36","1.289,71","1.292,94","1.284,47","","-0,32%"
"29.08.2018","1.291,51","1.284,71","1.292,34","1.283,78","","0,64%"
"28.08.2018","1.283,24","1.285,49","1.286,58","1.281,87","","-0,02%"
"27.08.2018","1.283,45","1.276,82","1.283,93","1.276,82","","0,87%"
"24.08.2018","1.272,43","1.267,08","1.273,39","1.267,08","","0,58%"
"23.08.2018","1.265,08","1.266,37","1.271,04","1.263,85","","-0,16%"
"22.08.2018","1.267,09","1.266,00","1.269,71","1.264,03","","0,04%"
"21.08.2018","1.266,54","1.266,42","1.271,88","1.265,74","","0,18%"
"20.08.2018","1.264,24","1.263,96","1.265,88","1.261,96","","0,15%"
"17.08.2018","1.262,32","1.257,74","1.265,04","1.254,64","","0,28%"
"16.08.2018","1.258,75","1.254,62","1.263,47","1.254,62","","0,84%"
"15.08.2018","1.248,21","1.252,68","1.252,68","1.240,77","","-0,75%"
"14.08.2018","1.257,60","1.253,46","1.259,11","1.251,69","","0,56%"
"13.08.2018","1.250,57","1.256,41","1.260,62","1.250,17","","-0,39%"
"10.08.2018","1.255,47","1.258,50","1.259,14","1.251,51","","-0,76%"
"09.08.2018","1.265,06","1.266,36","1.268,60","1.264,33","","-0,13%"
"08.08.2018","1.266,70","1.265,38","1.269,03","1.263,98","","0,02%"
"07.08.2018","1.266,41","1.265,69","1.269,21","1.265,69","","0,30%"
"06.08.2018","1.262,57","1.257,56","1.263,84","1.255,19","","0,43%"
"03.08.2018","1.257,19","1.251,81","1.257,21","1.250,45","","0,52%"
"02.08.2018","1.250,66","1.238,47","1.252,09","1.236,40","","0,53%"
"01.08.2018","1.244,09","1.246,28","1.248,72","1.240,01","","0,19%"
"31.07.2018","1.241,76","1.240,22","1.246,61","1.238,52","","0,33%"
"30.07.2018","1.237,63","1.243,99","1.245,29","1.234,57","","-0,50%"
"27.07.2018","1.243,83","1.254,14","1.254,36","1.238,77","","-0,61%"
"26.07.2018","1.251,50","1.252,54","1.255,62","1.250,61","","-0,71%"
"25.07.2018","1.260,50","1.248,39","1.261,57","1.247,91","","0,84%"
"24.07.2018","1.249,94","1.247,38","1.253,27","1.245,17","","0,85%"
"23.07.2018","1.239,46","1.235,08","1.240,26","1.233,51","","0,25%"
"20.07.2018","1.236,33","1.237,03","1.240,23","1.235,19","","0,03%"
"19.07.2018","1.235,98","1.240,29","1.241,32","1.235,17","","-0,53%"
"18.07.2018","1.242,60","1.241,55","1.243,42","1.238,67","","0,14%"
"17.07.2018","1.240,90","1.231,61","1.243,23","1.231,60","","0,35%"
"16.07.2018","1.236,61","1.236,07","1.237,58","1.233,60","","0,06%"
"13.07.2018","1.235,91","1.233,96","1.237,25","1.230,86","","0,10%"
"12.07.2018","1.234,70","1.226,52","1.235,19","1.226,52","","1,06%"
"11.07.2018","1.221,77","1.223,89","1.226,86","1.220,43","","-0,66%"
"10.07.2018","1.229,89","1.227,31","1.231,13","1.226,77","","0,41%"
"09.07.2018","1.224,88","1.217,46","1.225,14","1.217,46","","0,95%"
"06.07.2018","1.213,34","1.203,37","1.215,49","1.201,23","","0,90%"
"05.07.2018","1.202,53","1.196,56","1.203,24","1.193,24","","0,90%"
"03.07.2018","1.191,76","1.202,10","1.203,41","1.191,01","","-0,64%"
"02.07.2018","1.199,46","1.188,68","1.199,76","1.185,61","","0,42%"
"29.06.2018","1.194,50","1.199,57","1.206,43","1.194,17","","0,03%"
"28.06.2018","1.194,20","1.185,01","1.198,03","1.183,23","","0,76%"
"27.06.2018","1.185,25","1.197,56","1.206,44","1.185,12","","-0,83%"
"26.06.2018","1.195,14","1.194,37","1.199,94","1.191,54","","0,28%"
"25.06.2018","1.191,80","1.203,80","1.203,86","1.182,93","","-1,48%"
"22.06.2018","1.209,70","1.211,55","1.214,11","1.208,54","","0,22%"
"21.06.2018","1.207,08","1.216,63","1.216,63","1.204,59","","-0,68%"
"20.06.2018","1.215,29","1.216,26","1.219,08","1.214,05","","0,17%"
"19.06.2018","1.213,24","1.207,61","1.214,50","1.204,35","","-0,34%"
"18.06.2018","1.217,34","1.213,93","1.218,06","1.209,29","","-0,24%"
"15.06.2018","1.220,26","1.219,87","1.222,01","1.212,54","","-0,12%"
"14.06.2018","1.221,78","1.222,21","1.224,38","1.218,71","","0,23%"
"13.06.2018","1.218,92","1.224,10","1.226,04","1.218,39","","-0,39%"
"12.06.2018","1.223,67","1.223,89","1.225,47","1.219,85","","0,10%"
"11.06.2018","1.222,43","1.222,25","1.226,48","1.221,79","","0,05%"
"08.06.2018","1.221,79","1.216,73","1.222,04","1.215,29","","0,25%"
"07.06.2018","1.218,72","1.220,72","1.222,63","1.214,59","","-0,04%"
"06.06.2018","1.219,18","1.210,03","1.219,24","1.208,19","","0,93%"
"05.06.2018","1.207,92","1.208,61","1.209,68","1.203,80","","0,02%"
"04.06.2018","1.207,65","1.205,18","1.209,36","1.204,80","","0,47%"
